SampleID,Tissue,protocol,Group,read_type,Replicate,bamReads,Peaks,PeakCaller
ENCSR229QKB_3,megakaryocyte_progenitor_primary_cell,ATAC-seq,Non-Renin_Control,single,1,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR229QKB_3/aligned_mm10/ENCSR229QKB_3_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR229QKB_3/peak_calling_mm10/ENCSR229QKB_3_peaks_normalized.narrowPeak,narrow
ENCSR255XTC_1,liver,ATAC-seq,Non-Renin_Control,paired,1,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR255XTC_1/aligned_mm10/ENCSR255XTC_1_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR255XTC_1/peak_calling_mm10/ENCSR255XTC_1_peaks_normalized.narrowPeak,narrow
ENCSR255XTC_2,liver,ATAC-seq,Non-Renin_Control,paired,2,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR255XTC_2/aligned_mm10/ENCSR255XTC_2_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR255XTC_2/peak_calling_mm10/ENCSR255XTC_2_peaks_normalized.narrowPeak,narrow
ENCSR257PGU_1,granulocyte_monocyte_progenitor_primary_cell,ATAC-seq,Non-Renin_Control,single,1,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR257PGU_1/aligned_mm10/ENCSR257PGU_1_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR257PGU_1/peak_calling_mm10/ENCSR257PGU_1_peaks_normalized.narrowPeak,narrow
ENCSR257PGU_2,granulocyte_monocyte_progenitor_primary_cell,ATAC-seq,Non-Renin_Control,single,2,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR257PGU_2/aligned_mm10/ENCSR257PGU_2_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR257PGU_2/peak_calling_mm10/ENCSR257PGU_2_peaks_normalized.narrowPeak,narrow
ENCSR257PGU_3,granulocyte_monocyte_progenitor_primary_cell,ATAC-seq,Non-Renin_Control,single,1,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR257PGU_3/aligned_mm10/ENCSR257PGU_3_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR257PGU_3/peak_calling_mm10/ENCSR257PGU_3_peaks_normalized.narrowPeak,narrow
ENCSR261ICG_1,embryonic_facial_prominence,ATAC-seq,Non-Renin_Control,paired,1,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR261ICG_1/aligned_mm10/ENCSR261ICG_1_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR261ICG_1/peak_calling_mm10/ENCSR261ICG_1_peaks_normalized.narrowPeak,narrow
ENCSR261ICG_2,embryonic_facial_prominence,ATAC-seq,Non-Renin_Control,paired,2,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR261ICG_2/aligned_mm10/ENCSR261ICG_2_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR261ICG_2/peak_calling_mm10/ENCSR261ICG_2_peaks_normalized.narrowPeak,narrow
ENCSR273UFV_1,forebrain,ATAC-seq,Non-Renin_Control,paired,1,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR273UFV_1/aligned_mm10/ENCSR273UFV_1_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR273UFV_1/peak_calling_mm10/ENCSR273UFV_1_peaks_normalized.narrowPeak,narrow
ENCSR273UFV_2,forebrain,ATAC-seq,Non-Renin_Control,paired,2,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR273UFV_2/aligned_mm10/ENCSR273UFV_2_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR273UFV_2/peak_calling_mm10/ENCSR273UFV_2_peaks_normalized.narrowPeak,narrow
ENCSR280ZDP_1,G1E,ATAC-seq,Non-Renin_Control,single,1,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR280ZDP_1/aligned_mm10/ENCSR280ZDP_1_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR280ZDP_1/peak_calling_mm10/ENCSR280ZDP_1_peaks_normalized.narrowPeak,narrow
ENCSR280ZDP_2,G1E,ATAC-seq,Non-Renin_Control,single,2,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR280ZDP_2/aligned_mm10/ENCSR280ZDP_2_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR280ZDP_2/peak_calling_mm10/ENCSR280ZDP_2_peaks_normalized.narrowPeak,narrow
ENCSR282YTE_1,neural_tube,ATAC-seq,Non-Renin_Control,paired,1,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR282YTE_1/aligned_mm10/ENCSR282YTE_1_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR282YTE_1/peak_calling_mm10/ENCSR282YTE_1_peaks_normalized.narrowPeak,narrow
ENCSR282YTE_2,neural_tube,ATAC-seq,Non-Renin_Control,paired,2,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR282YTE_2/aligned_mm10/ENCSR282YTE_2_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR282YTE_2/peak_calling_mm10/ENCSR282YTE_2_peaks_normalized.narrowPeak,narrow
ENCSR302LIV_1,liver,ATAC-seq,Non-Renin_Control,paired,1,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR302LIV_1/aligned_mm10/ENCSR302LIV_1_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR302LIV_1/peak_calling_mm10/ENCSR302LIV_1_peaks_normalized.narrowPeak,narrow
ENCSR302LIV_2,liver,ATAC-seq,Non-Renin_Control,paired,2,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR302LIV_2/aligned_mm10/ENCSR302LIV_2_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR302LIV_2/peak_calling_mm10/ENCSR302LIV_2_peaks_normalized.narrowPeak,narrow
ENCSR310MLB_1,forebrain,ATAC-seq,Non-Renin_Control,paired,1,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR310MLB_1/aligned_mm10/ENCSR310MLB_1_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR310MLB_1/peak_calling_mm10/ENCSR310MLB_1_peaks_normalized.narrowPeak,narrow
ENCSR310MLB_2,forebrain,ATAC-seq,Non-Renin_Control,paired,2,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR310MLB_2/aligned_mm10/ENCSR310MLB_2_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR310MLB_2/peak_calling_mm10/ENCSR310MLB_2_peaks_normalized.narrowPeak,narrow
ENCSR312LQX_1,hindbrain,ATAC-seq,Non-Renin_Control,paired,1,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR312LQX_1/aligned_mm10/ENCSR312LQX_1_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR312LQX_1/peak_calling_mm10/ENCSR312LQX_1_peaks_normalized.narrowPeak,narrow
ENCSR312LQX_2,hindbrain,ATAC-seq,Non-Renin_Control,paired,2,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR312LQX_2/aligned_mm10/ENCSR312LQX_2_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR312LQX_2/peak_calling_mm10/ENCSR312LQX_2_peaks_normalized.narrowPeak,narrow
ENCSR335VJW_1,lung,ATAC-seq,Non-Renin_Control,paired,1,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR335VJW_1/aligned_mm10/ENCSR335VJW_1_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR335VJW_1/peak_calling_mm10/ENCSR335VJW_1_peaks_normalized.narrowPeak,narrow
ENCSR335VJW_2,lung,ATAC-seq,Non-Renin_Control,paired,2,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR335VJW_2/aligned_mm10/ENCSR335VJW_2_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR335VJW_2/peak_calling_mm10/ENCSR335VJW_2_peaks_normalized.narrowPeak,narrow
ENCSR343TXK_1,liver,ATAC-seq,Non-Renin_Control,paired,1,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR343TXK_1/aligned_mm10/ENCSR343TXK_1_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR343TXK_1/peak_calling_mm10/ENCSR343TXK_1_peaks_normalized.narrowPeak,narrow
ENCSR343TXK_2,liver,ATAC-seq,Non-Renin_Control,paired,2,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR343TXK_2/aligned_mm10/ENCSR343TXK_2_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR343TXK_2/peak_calling_mm10/ENCSR343TXK_2_peaks_normalized.narrowPeak,narrow
ENCSR351YUI_1,neutrophil_primary_cell,ATAC-seq,Non-Renin_Control,single,2,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR351YUI_1/aligned_mm10/ENCSR351YUI_1_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR351YUI_1/peak_calling_mm10/ENCSR351YUI_1_peaks_normalized.narrowPeak,narrow
ENCSR351YUI_2,neutrophil_primary_cell,ATAC-seq,Non-Renin_Control,single,1,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR351YUI_2/aligned_mm10/ENCSR351YUI_2_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR351YUI_2/peak_calling_mm10/ENCSR351YUI_2_peaks_normalized.narrowPeak,narrow
ENCSR358MOW_1,embryonic_facial_prominence,ATAC-seq,Non-Renin_Control,paired,1,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR358MOW_1/aligned_mm10/ENCSR358MOW_1_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR358MOW_1/peak_calling_mm10/ENCSR358MOW_1_peaks_normalized.narrowPeak,narrow
ENCSR358MOW_2,embryonic_facial_prominence,ATAC-seq,Non-Renin_Control,paired,2,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR358MOW_2/aligned_mm10/ENCSR358MOW_2_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR358MOW_2/peak_calling_mm10/ENCSR358MOW_2_peaks_normalized.narrowPeak,narrow
ENCSR363SKQ_1,stomach,ATAC-seq,Non-Renin_Control,paired,1,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR363SKQ_1/aligned_mm10/ENCSR363SKQ_1_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR363SKQ_1/peak_calling_mm10/ENCSR363SKQ_1_peaks_normalized.narrowPeak,narrow
ENCSR363SKQ_2,stomach,ATAC-seq,Non-Renin_Control,paired,2,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR363SKQ_2/aligned_mm10/ENCSR363SKQ_2_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR363SKQ_2/peak_calling_mm10/ENCSR363SKQ_2_peaks_normalized.narrowPeak,narrow
ENCSR366VBB_1,hematopoietic_stem_primary_cell,ATAC-seq,Non-Renin_Control,single,1,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR366VBB_1/aligned_mm10/ENCSR366VBB_1_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR366VBB_1/peak_calling_mm10/ENCSR366VBB_1_peaks_normalized.narrowPeak,narrow
ENCSR366VBB_2,hematopoietic_stem_primary_cell,ATAC-seq,Non-Renin_Control,single,2,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR366VBB_2/aligned_mm10/ENCSR366VBB_2_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR366VBB_2/peak_calling_mm10/ENCSR366VBB_2_peaks_normalized.narrowPeak,narrow
ENCSR371KFW_1,heart,ATAC-seq,Non-Renin_Control,paired,1,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR371KFW_1/aligned_mm10/ENCSR371KFW_1_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR371KFW_1/peak_calling_mm10/ENCSR371KFW_1_peaks_normalized.narrowPeak,narrow
ENCSR371KFW_2,heart,ATAC-seq,Non-Renin_Control,paired,2,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR371KFW_2/aligned_mm10/ENCSR371KFW_2_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR371KFW_2/peak_calling_mm10/ENCSR371KFW_2_peaks_normalized.narrowPeak,narrow
ENCSR377YDY_1,limb,ATAC-seq,Non-Renin_Control,paired,1,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR377YDY_1/aligned_mm10/ENCSR377YDY_1_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR377YDY_1/peak_calling_mm10/ENCSR377YDY_1_peaks_normalized.narrowPeak,narrow
ENCSR377YDY_2,limb,ATAC-seq,Non-Renin_Control,paired,2,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR377YDY_2/aligned_mm10/ENCSR377YDY_2_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR377YDY_2/peak_calling_mm10/ENCSR377YDY_2_peaks_normalized.narrowPeak,narrow
ENCSR382RUC_1,midbrain,ATAC-seq,Non-Renin_Control,paired,1,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR382RUC_1/aligned_mm10/ENCSR382RUC_1_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR382RUC_1/peak_calling_mm10/ENCSR382RUC_1_peaks_normalized.narrowPeak,narrow
ENCSR382RUC_2,midbrain,ATAC-seq,Non-Renin_Control,paired,2,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR382RUC_2/aligned_mm10/ENCSR382RUC_2_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR382RUC_2/peak_calling_mm10/ENCSR382RUC_2_peaks_normalized.narrowPeak,narrow
ENCSR384JBF_1,midbrain,ATAC-seq,Non-Renin_Control,paired,1,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR384JBF_1/aligned_mm10/ENCSR384JBF_1_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR384JBF_1/peak_calling_mm10/ENCSR384JBF_1_peaks_normalized.narrowPeak,narrow
ENCSR384JBF_2,midbrain,ATAC-seq,Non-Renin_Control,paired,2,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR384JBF_2/aligned_mm10/ENCSR384JBF_2_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR384JBF_2/peak_calling_mm10/ENCSR384JBF_2_peaks_normalized.narrowPeak,narrow
ENCSR389CLN_1,primary_kidney_cells,ATAC-seq,Non-Renin_Control,paired,1,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR389CLN_1/aligned_mm10/ENCSR389CLN_1_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR389CLN_1/peak_calling_mm10/ENCSR389CLN_1_peaks_normalized.narrowPeak,narrow
ENCSR389CLN_2,primary_kidney_cells,ATAC-seq,Non-Renin_Control,paired,2,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR389CLN_2/aligned_mm10/ENCSR389CLN_2_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR389CLN_2/peak_calling_mm10/ENCSR389CLN_2_peaks_normalized.narrowPeak,narrow
ENCSR428BSK_1,G1E-ER4,ATAC-seq,Non-Renin_Control,single,1,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR428BSK_1/aligned_mm10/ENCSR428BSK_1_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR428BSK_1/peak_calling_mm10/ENCSR428BSK_1_peaks_normalized.narrowPeak,narrow
ENCSR428BSK_2,G1E-ER4,ATAC-seq,Non-Renin_Control,single,2,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR428BSK_2/aligned_mm10/ENCSR428BSK_2_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR428BSK_2/peak_calling_mm10/ENCSR428BSK_2_peaks_normalized.narrowPeak,narrow
ENCSR451NAE_1,heart,ATAC-seq,Non-Renin_Control,paired,1,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR451NAE_1/aligned_mm10/ENCSR451NAE_1_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR451NAE_1/peak_calling_mm10/ENCSR451NAE_1_peaks_normalized.narrowPeak,narrow
ENCSR451NAE_2,heart,ATAC-seq,Non-Renin_Control,paired,2,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR451NAE_2/aligned_mm10/ENCSR451NAE_2_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR451NAE_2/peak_calling_mm10/ENCSR451NAE_2_peaks_normalized.narrowPeak,narrow
ENCSR453AWR_1,hematopoietic_stem_cellprimary_cell,ATAC-seq,Non-Renin_Control,single,1,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR453AWR_1/aligned_mm10/ENCSR453AWR_1_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR453AWR_1/peak_calling_mm10/ENCSR453AWR_1_peaks_normalized.narrowPeak,narrow
ENCSR453AWR_2,hematopoietic_stem_cellprimary_cell,ATAC-seq,Non-Renin_Control,single,2,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR453AWR_2/aligned_mm10/ENCSR453AWR_2_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR453AWR_2/peak_calling_mm10/ENCSR453AWR_2_peaks_normalized.narrowPeak,narrow
ENCSR453AWR_3,hematopoietic_stem_cellprimary_cell,ATAC-seq,Non-Renin_Control,single,1,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR453AWR_3/aligned_mm10/ENCSR453AWR_3_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR453AWR_3/peak_calling_mm10/ENCSR453AWR_3_peaks_normalized.narrowPeak,narrow
ENCSR460BUL_1,limb,ATAC-seq,Non-Renin_Control,paired,1,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR460BUL_1/aligned_mm10/ENCSR460BUL_1_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR460BUL_1/peak_calling_mm10/ENCSR460BUL_1_peaks_normalized.narrowPeak,narrow
ENCSR460BUL_2,limb,ATAC-seq,Non-Renin_Control,paired,2,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR460BUL_2/aligned_mm10/ENCSR460BUL_2_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR460BUL_2/peak_calling_mm10/ENCSR460BUL_2_peaks_normalized.narrowPeak,narrow
ENCSR465PYP_1,liver,ATAC-seq,Non-Renin_Control,paired,1,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR465PYP_1/aligned_mm10/ENCSR465PYP_1_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR465PYP_1/peak_calling_mm10/ENCSR465PYP_1_peaks_normalized.narrowPeak,narrow
ENCSR465PYP_2,liver,ATAC-seq,Non-Renin_Control,paired,2,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR465PYP_2/aligned_mm10/ENCSR465PYP_2_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR465PYP_2/peak_calling_mm10/ENCSR465PYP_2_peaks_normalized.narrowPeak,narrow
ENCSR468GUI_1,midbrain,ATAC-seq,Non-Renin_Control,paired,1,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR468GUI_1/aligned_mm10/ENCSR468GUI_1_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR468GUI_1/peak_calling_mm10/ENCSR468GUI_1_peaks_normalized.narrowPeak,narrow
ENCSR468GUI_2,midbrain,ATAC-seq,Non-Renin_Control,paired,2,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR468GUI_2/aligned_mm10/ENCSR468GUI_2_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR468GUI_2/peak_calling_mm10/ENCSR468GUI_2_peaks_normalized.narrowPeak,narrow
ENCSR486XAS_1,stomach,ATAC-seq,Non-Renin_Control,paired,1,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR486XAS_1/aligned_mm10/ENCSR486XAS_1_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR486XAS_1/peak_calling_mm10/ENCSR486XAS_1_peaks_normalized.narrowPeak,narrow
ENCSR486XAS_2,stomach,ATAC-seq,Non-Renin_Control,paired,2,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR486XAS_2/aligned_mm10/ENCSR486XAS_2_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR486XAS_2/peak_calling_mm10/ENCSR486XAS_2_peaks_normalized.narrowPeak,narrow
ENCSR498DQA_1,megakaryocyte_primary_cell,ATAC-seq,Non-Renin_Control,single,2,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR498DQA_1/aligned_mm10/ENCSR498DQA_1_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR498DQA_1/peak_calling_mm10/ENCSR498DQA_1_peaks_normalized.narrowPeak,narrow
ENCSR498DQA_2,megakaryocyte_primary_cell,ATAC-seq,Non-Renin_Control,single,2,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR498DQA_2/aligned_mm10/ENCSR498DQA_2_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR498DQA_2/peak_calling_mm10/ENCSR498DQA_2_peaks_normalized.narrowPeak,narrow
ENCSR498DQA_3,megakaryocyte_primary_cell,ATAC-seq,Non-Renin_Control,single,1,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR498DQA_3/aligned_mm10/ENCSR498DQA_3_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR498DQA_3/peak_calling_mm10/ENCSR498DQA_3_peaks_normalized.narrowPeak,narrow
ENCSR551WBK_1,limb,ATAC-seq,Non-Renin_Control,paired,1,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR551WBK_1/aligned_mm10/ENCSR551WBK_1_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR551WBK_1/peak_calling_mm10/ENCSR551WBK_1_peaks_normalized.narrowPeak,narrow
ENCSR551WBK_2,limb,ATAC-seq,Non-Renin_Control,paired,2,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR551WBK_2/aligned_mm10/ENCSR551WBK_2_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR551WBK_2/peak_calling_mm10/ENCSR551WBK_2_peaks_normalized.narrowPeak,narrow
ENCSR552ABC_1,heart,ATAC-seq,Non-Renin_Control,paired,1,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR552ABC_1/aligned_mm10/ENCSR552ABC_1_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR552ABC_1/peak_calling_mm10/ENCSR552ABC_1_peaks_normalized.narrowPeak,narrow
ENCSR552ABC_2,heart,ATAC-seq,Non-Renin_Control,paired,2,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR552ABC_2/aligned_mm10/ENCSR552ABC_2_sort_dedup.bam,/project/shefflab/processed/gomez_atac/results_pipeline/encode_ATAC/results_pipeline/ENCSR552ABC_2/peak_calling_mm10/ENCSR552ABC_2_peaks_normalized.narrowPeak,narrow
